t,x,y,vx,vy,kinetic_energy
94.8711244184,1.0449830643,0.4974516162,0.0032442146,-0.0017002685,0.0000067079
94.8790861984,1.0450085870,0.4974379764,0.0031670181,-0.0017260542,0.0000065046
94.8870765870,1.0450335820,0.4974240808,0.0030891828,-0.0017520453,0.0000063064
94.8950942301,1.0450580357,0.4974099286,0.0030107284,-0.0017782354,0.0000061133
94.9031434637,1.0450819516,0.4973955090,0.0029316192,-0.0018046362,0.0000059256
94.9112233569,1.0451053168,0.4973808203,0.0028518713,-0.0018312424,0.0000057433
94.9193346313,1.0451281233,0.4973658580,0.0027714852,-0.0018580538,0.0000055667
94.9274777528,1.0451503622,0.4973506177,0.0026904639,-0.0018850695,0.0000053960
94.9356795940,1.0451720932,0.4973350447,0.0026085470,-0.0019123762,0.0000052309
94.9438974289,1.0451931915,0.4973192164,0.0025261693,-0.0019398289,0.0000050722
94.9521928849,1.0452138013,0.4973030094,0.0024427208,-0.0019676309,0.0000049192
