s x_s y_s F_val G_val
3.09 0.501331 1.55157 1.53531 -nan
3.1 0.500865 1.54158 1.54284 -nan
3.11 0.500499 1.53159 1.55005 -nan
3.12 0.500233 1.52159 1.55696 -nan
3.13 0.500067 1.51159 1.56355 -nan
3.14 0.500001 1.50159 1.56983 -nan
3.15 0.500035 1.49159 1.57579 -nan
3.16 0.500169 1.48159 1.58143 -nan
3.17 0.500403 1.4716 1.58676 -nan
3.18 0.500737 1.4616 1.59177 -nan
3.19 0.501171 1.45161 1.59647 -nan
3.2 0.501705 1.44163 1.60085 -nan
3.21 0.502339 1.43165 1.60493 -nan
3.22 0.503072 1.42167 1.60871 -nan
3.23 0.503905 1.41171 1.61219 -nan
3.24 0.504838 1.40175 1.61537 -nan
3.25 0.50587 1.3918 1.61827 -nan
3.26 0.507002 1.38187 1.62088 -nan
3.27 0.508233 1.37195 1.62322 -nan
3.28 0.509563 1.36203 1.62529 -nan
3.29 0.510992 1.35214 1.62709 -nan
3.3 0.51252 1.34225 1.62863 -nan
3.31 0.514147 1.33239 1.62993 -nan
3.32 0.515872 1.32254 1.63098 -nan
3.33 0.517696 1.31271 1.63179 -nan
3.34 0.519618 1.30289 1.63238 -nan
3.35 0.521638 1.2931 1.63275 -nan
3.36 0.523756 1.28332 1.6329 -nan
3.37 0.525972 1.27357 1.63284 -nan
3.38 0.528285 1.26384 1.63259 -nan
3.39 0.530695 1.25414 1.63214 -nan
3.4 0.533202 1.24446 1.63152 -nan
3.41 0.535806 1.2348 1.63071 -nan
3.42 0.538506 1.22518 1.62975 -nan
3.43 0.541302 1.21557 1.62862 -nan
3.44 0.544194 1.206 1.62734 -nan
3.45 0.547182 1.19646 1.62592 -nan
3.46 0.550265 1.18695 1.62437 -nan
3.47 0.553443 1.17746 1.62269 -nan
3.48 0.556715 1.16801 1.6209 -nan
3.49 0.560082 1.1586 1.619 -nan
3.5 0.563543 1.14922 1.617 -nan
3.51 0.567098 1.13987 1.61491 -nan
3.52 0.570746 1.13056 1.61274 -nan
3.53 0.574487 1.12129 1.61049 -nan
3.54 0.57832 1.11205 1.60819 -nan
3.55 0.582245 1.10285 1.60582 -nan
3.56 0.586263 1.09369 1.60341 -nan
3.57 0.590371 1.08458 1.60096 -nan
3.58 0.594571 1.0755 1.59848 -nan
3.59 0.598861 1.06647 1.59598 -nan
3.6 0.603242 1.05748 1.59346 -nan
3.61 0.607712 1.04853 1.59093 -nan
3.62 0.612271 1.03963 1.5884 -nan
3.63 0.616919 1.03078 1.58588 -nan
3.64 0.621655 1.02197 1.58337 -nan
3.65 0.626479 1.01321 1.58088 -nan
3.66 0.631391 1.0045 1.57843 -nan
3.67 0.636389 0.995841 1.576 -nan
3.68 0.641474 0.987231 1.57362 -nan
3.69 0.646644 0.978671 1.57128 -nan
3.7 0.6519 0.970164 1.56899 -nan
3.71 0.657241 0.961709 1.56677 -nan
3.72 0.662666 0.953309 1.5646 -nan
3.73 0.668174 0.944963 1.56251 -nan
3.74 0.673766 0.936673 1.56048 -nan
3.75 0.679441 0.928439 1.55854 -nan
3.76 0.685197 0.920262 1.55668 -nan
3.77 0.691035 0.912143 1.5549 -nan
3.78 0.696954 0.904083 1.55321 -nan
3.79 0.702953 0.896082 1.55162 -nan
3.8 0.709032 0.888142 1.55013 -nan
3.81 0.71519 0.880263 1.54874 -nan
3.82 0.721427 0.872446 1.54745 -nan
3.83 0.727741 0.864692 1.54626 -nan
3.84 0.734133 0.857001 1.54519 -nan
3.85 0.740601 0.849375 1.54423 -nan
3.86 0.747145 0.841814 1.54337 -nan
3.87 0.753764 0.834318 1.54264 -nan
3.88 0.760458 0.826889 1.54202 -nan
3.89 0.767226 0.819527 1.54152 -nan
3.9 0.774068 0.812234 1.54113 -nan
3.91 0.780982 0.805009 1.54087 -nan
3.92 0.787967 0.797854 1.54073 -nan
3.93 0.795024 0.790769 1.5407 -nan
3.94 0.802152 0.783754 1.5408 -nan
